Id,downvotes,upvotes
"74600342","0","0"
"75337268","0","0"
"74219995","0","0"
"45269580","0","0"
"69787221","0","0"
"48444977","0","0"
"41849122","0","0"
"69071347","0","0"
"61436906","0","0"
"55939378","0","0"
"68221902","0","0"
"61615648","0","0"
"75800829","0","0"
"72001412","0","0"
"73353473","0","0"
"49864698","0","0"
"44104660","0","0"
"55832615","0","0"
"56739382","0","0"
"51752447","0","0"
"55683837","0","0"
"66549009","0","0"
"44160002","0","0"
"75825339","0","0"
"70790399","0","0"
"71885764","0","0"
"72720891","0","0"
"52904394","0","0"
"43267115","0","1"
"52707702","1","54"
"54910072","0","7"
"41631142","0","19"
"61889014","0","2"
"56461631","0","3"
"43146977","0","19"
"41825484","0","3"
"56668989","0","6"
"45309504","0","3"
"45488375","0","1"
"45202306","0","12"
"62795414","0","4"
"47996005","0","18"
"45676455","0","22"
"51630896","0","39"
"43352889","0","10"
"63978417","0","0"
"46941449","1","0"
"47088329","0","3"
"58339332","1","30"
"47205219","0","2"
"47237201","3","0"
"42436280","0","2"
"46547645","0","7"
"48338472","0","4"
"60665768","1","4"
"64046884","0","1"
"48414096","0","1"
"55993971","0","3"
"49651140","0","8"
"66574101","0","3"
"49791194","0","1"
"46954352","0","15"
"49923140","0","1"
"50119421","0","1"
"50123161","0","1"
"43981289","0","8"
"51023255","2","0"
"45258489","0","1"
"52413215","1","0"
"62782910","0","13"
"53411411","1","3"
"57079838","0","5"
"54766891","1","0"
"47332803","0","2"
"69379276","0","1"
"51843439","0","4"
"73370165","0","6"
"57531269","0","3"
"56313661","0","0"
"56665282","1","1"
"56768451","0","1"
"52023026","0","1"
"61959241","0","2"
"72854770","0","1"
"57401577","0","2"
"74388831","1","1"
"73469408","0","1"
"42480824","1","8"
"57776611","0","1"
"74110082","0","3"
"42835395","0","1"
"42839374","0","2"
"58178940","1","1"
"48353050","0","1"
"52086417","0","7"
"76341408","0","1"
"60321763","0","2"
"60447887","0","1"
"60509689","0","2"
"68745800","0","1"
"45503185","0","0"
"70834889","0","0"
"70703862","0","0"
"59474855","0","0"
"73660155","0","0"
"54117289","0","0"
"76795578","0","0"
"53857513","0","0"
"49546347","0","0"
"63375383","0","0"
"44311530","0","0"
"75862238","0","0"
"67171845","0","0"
"53096361","0","0"
"77497156","0","0"
"49016525","0","0"
"46950799","0","0"
"77015376","0","0"
"43099446","0","0"
"55475777","0","0"
"65247577","0","0"
"59137182","0","0"
"44606067","0","0"
"58978068","0","0"
"66668853","0","0"
"43063223","0","0"
"71908422","0","0"
"74988295","0","0"
"56940071","0","0"
"72991119","0","0"
"64261893","0","0"
"71774853","0","0"
"71961724","0","0"
"42256371","0","0"
"71331267","0","0"
"76095541","0","0"
"58544724","0","0"
"52965955","0","1"
"44164122","0","1"
"44745740","0","2"
"45628722","0","1"
"45757554","0","4"
"45171712","0","4"
"61280532","0","2"
"52724286","0","1"
"57142771","1","5"
"58188743","0","9"
"64319410","0","3"
"49083726","0","4"
"66386746","0","1"
"66587941","1","1"
"49924764","0","1"
"68049682","1","1"
"68507669","0","1"
"51399954","0","3"
"51698157","0","1"
"42765279","0","2"
"41764345","1","3"
"69374029","1","1"
"52641266","0","2"
"53298415","0","4"
"70432433","0","0"
"53412857","1","1"
